Company,Title,Link,Date,Trend Tag,Summary
Microsoft India,"Microsoft CEO Satya Nadella reveals why 6,000 employees were laid off, Chief Product Officer shares key advice for coders - financialexpress.com",https://news.google.com/rss/articles/CBMiiAJBVV95cUxOTnZvck9BaEt0UVFmSFZiNVhvNHFOeEgzSTVRa2hDdlFzdWNDbmdHQjgyeHlRRXdSUThPeHVjQVgxVXVMdWs5aThmcy1TR2R3QUQ5WXhnTG5nY0RTNVpuMlJOODBaSmJwSE1aUW1kNEY1MFJiWnJZR1VfUkIwSnNtNVZsMUVOcUIwRnU4dGZELTUyYUFVMzYyMTM5RHpLV3RmMjdTeWNmY213TjFZZU1MSTVhRzJGTVY2eThHU0hUSUhYMjV6emNQd21ybnJ6MjZualRMVXI1bXh1VC1JYkhxbFJIWmgxYmRoMnRiR1pFMGhXTHIxMkNIQ1Zkd1J5dDRPTHIwTG41U1Q?oc=5,2025-05-30 10:34,AI,"<a href=""https://news.google.com/rss/articles/CBMiiAJBVV95cUxOTnZvck9BaEt0UVFmSFZiNVhvNHFOeEgzSTVRa2hDdlFzdWNDbmdHQjgyeHlRRXdSUThPeHVjQVgxVXVMdWs5aThmcy1TR2R3QUQ5WXhnTG5nY0RTNVpuMlJOODBaSmJwSE1aUW1kNEY1MFJiWnJZR1VfUkIwSnNtNVZsMUVOcUIwRnU4dGZELTUyYUFVMzYyMTM5RHpLV3RmMjdTeWNmY213TjFZZU1MSTVhRzJGTVY2eThHU0hUSUhYMjV6emNQd21ybnJ6MjZualRMVXI1bXh1VC1JYkhxbFJIWmgxYmRoMnRiR1pFMGhXTHIxMkNIQ1Zkd1J5dDRPTHIwTG41U1Q?oc=5"" target=""_blank"">Microsoft CEO Satya Nadella reveals why 6,000 employees were laid off, Chief Product Officer shares key advice for coders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">financialexpress.com</font>"
Zomato,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Razorpay,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Lenskart,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
BYJU'S,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Freshworks,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Meesho,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Hike Messenger,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Grofers,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
Infosys,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5"" target=""_blank"">Ravi Sharma Joins Innovartan as Chief Technology Officer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">APN News</font>"
