Company,Title,Link,Date,Trend Tag,Summary
Zomato,Ravi Sharma Joins Innovartan as Chief Technology Officer - APN News,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNaEZuTE0zSU5IRVpmdXYzdmdVbnpnNTZhZkt3NHdaVGhkckllRlVTSThBMG10OVF2QllrclZwQjFSSFZvOGJlbmFId01NY1RFdGRpd3NZYkxIeFhZQXdoR25LM1QyTFhUOEVOLXB1eWZKdm96elBWY1kxbklvSm5Sd3M0MHU2NFl2?oc=5,2025-05-30 10:28,technology,Ravi Sharma Joins Innovartan as Chief Technology OfficerAPN News
CRED,Ravi Sharma joins Innovartan as Chief Technology Officer - Exchange4media,https://news.google.com/rss/articles/CBMivwFBVV95cUxPMlZVSVpJNU1fb0JOanlVbDBVcUQ4N2d5TVFfbXh6RkhYT1RfdUZOcHFIZjRaV3ZhNmtoWFFsTnJRaHZXdEwyWEdubi01cGo2UHh4MVhXdUhQOGRGWE9ERGwtUE95c3pYQ19KYzBPVnh4eTJDc0NQejdtekV3TDJTN25HOTdsWVcyUmRlUWoydUFyYXNGWjJYWjhDZktMeHBtejdiWTc3ZVFWSjhpV2ZnVVhKWTVib052c0ZOZzdUMA?oc=5,2025-05-30 08:13,technology,Ravi Sharma joins Innovartan as Chief Technology OfficerExchange4media
Dream11,Ravi Sharma joins Innovartan as Chief Technology Officer - Exchange4media,https://news.google.com/rss/articles/CBMivwFBVV95cUxPMlZVSVpJNU1fb0JOanlVbDBVcUQ4N2d5TVFfbXh6RkhYT1RfdUZOcHFIZjRaV3ZhNmtoWFFsTnJRaHZXdEwyWEdubi01cGo2UHh4MVhXdUhQOGRGWE9ERGwtUE95c3pYQ19KYzBPVnh4eTJDc0NQejdtekV3TDJTN25HOTdsWVcyUmRlUWoydUFyYXNGWjJYWjhDZktMeHBtejdiWTc3ZVFWSjhpV2ZnVVhKWTVib052c0ZOZzdUMA?oc=5,2025-05-30 08:13,technology,Ravi Sharma joins Innovartan as Chief Technology OfficerExchange4media
Swiggy,Ravi Sharma joins Innovartan as Chief Technology Officer - Exchange4media,https://news.google.com/rss/articles/CBMivwFBVV95cUxPMlZVSVpJNU1fb0JOanlVbDBVcUQ4N2d5TVFfbXh6RkhYT1RfdUZOcHFIZjRaV3ZhNmtoWFFsTnJRaHZXdEwyWEdubi01cGo2UHh4MVhXdUhQOGRGWE9ERGwtUE95c3pYQ19KYzBPVnh4eTJDc0NQejdtekV3TDJTN25HOTdsWVcyUmRlUWoydUFyYXNGWjJYWjhDZktMeHBtejdiWTc3ZVFWSjhpV2ZnVVhKWTVib052c0ZOZzdUMA?oc=5,2025-05-30 08:13,technology,Ravi Sharma joins Innovartan as Chief Technology OfficerExchange4media
Flipkart,Ravi Sharma joins Innovartan as Chief Technology Officer - Exchange4media,https://news.google.com/rss/articles/CBMivwFBVV95cUxPMlZVSVpJNU1fb0JOanlVbDBVcUQ4N2d5TVFfbXh6RkhYT1RfdUZOcHFIZjRaV3ZhNmtoWFFsTnJRaHZXdEwyWEdubi01cGo2UHh4MVhXdUhQOGRGWE9ERGwtUE95c3pYQ19KYzBPVnh4eTJDc0NQejdtekV3TDJTN25HOTdsWVcyUmRlUWoydUFyYXNGWjJYWjhDZktMeHBtejdiWTc3ZVFWSjhpV2ZnVVhKWTVib052c0ZOZzdUMA?oc=5,2025-05-30 08:13,technology,Ravi Sharma joins Innovartan as Chief Technology OfficerExchange4media
CRED,AI adoption accelerates when proper data plan is in place: Wipro CTO - Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNnFfWlZGZFFKaDBLT1Z1Mi1pN2hRc1ZNR21LNF9kcjFyUEgxTWhhQWRYSlltaDhORldEZGRwYVdRMnBSSEFqNzVpdmNxanlYR2hjeFF5b1BpWWJ4XzMzaGt0azRMMjlFX1JzeHgxVUU4Z1VlRU9DNU1fMnVNOTE0bE4zWGNkM1oya1dPWTJocUFpTWtWcGxFNi1MbGZvXzBvUGNyWFRza1VuTUtONm1DQzVKdkUyN3BhRFQ1ZG9aNjFpS3I3aTVDckpOMDFnNS1zUHEtcW1aVWlsZw?oc=5,2025-05-29 18:00,"AI, data",AI adoption accelerates when proper data plan is in place: Wipro CTOBusiness Standard
Dream11,AI adoption accelerates when proper data plan is in place: Wipro CTO - Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNnFfWlZGZFFKaDBLT1Z1Mi1pN2hRc1ZNR21LNF9kcjFyUEgxTWhhQWRYSlltaDhORldEZGRwYVdRMnBSSEFqNzVpdmNxanlYR2hjeFF5b1BpWWJ4XzMzaGt0azRMMjlFX1JzeHgxVUU4Z1VlRU9DNU1fMnVNOTE0bE4zWGNkM1oya1dPWTJocUFpTWtWcGxFNi1MbGZvXzBvUGNyWFRza1VuTUtONm1DQzVKdkUyN3BhRFQ1ZG9aNjFpS3I3aTVDckpOMDFnNS1zUHEtcW1aVWlsZw?oc=5,2025-05-29 18:00,"AI, data",AI adoption accelerates when proper data plan is in place: Wipro CTOBusiness Standard
Swiggy,AI adoption accelerates when proper data plan is in place: Wipro CTO - Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNnFfWlZGZFFKaDBLT1Z1Mi1pN2hRc1ZNR21LNF9kcjFyUEgxTWhhQWRYSlltaDhORldEZGRwYVdRMnBSSEFqNzVpdmNxanlYR2hjeFF5b1BpWWJ4XzMzaGt0azRMMjlFX1JzeHgxVUU4Z1VlRU9DNU1fMnVNOTE0bE4zWGNkM1oya1dPWTJocUFpTWtWcGxFNi1MbGZvXzBvUGNyWFRza1VuTUtONm1DQzVKdkUyN3BhRFQ1ZG9aNjFpS3I3aTVDckpOMDFnNS1zUHEtcW1aVWlsZw?oc=5,2025-05-29 18:00,"AI, data",AI adoption accelerates when proper data plan is in place: Wipro CTOBusiness Standard
Zomato,AI adoption accelerates when proper data plan is in place: Wipro CTO - Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNnFfWlZGZFFKaDBLT1Z1Mi1pN2hRc1ZNR21LNF9kcjFyUEgxTWhhQWRYSlltaDhORldEZGRwYVdRMnBSSEFqNzVpdmNxanlYR2hjeFF5b1BpWWJ4XzMzaGt0azRMMjlFX1JzeHgxVUU4Z1VlRU9DNU1fMnVNOTE0bE4zWGNkM1oya1dPWTJocUFpTWtWcGxFNi1MbGZvXzBvUGNyWFRza1VuTUtONm1DQzVKdkUyN3BhRFQ1ZG9aNjFpS3I3aTVDckpOMDFnNS1zUHEtcW1aVWlsZw?oc=5,2025-05-29 18:00,"AI, data",AI adoption accelerates when proper data plan is in place: Wipro CTOBusiness Standard
Flipkart,AI adoption accelerates when proper data plan is in place: Wipro CTO - Business Standard,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNnFfWlZGZFFKaDBLT1Z1Mi1pN2hRc1ZNR21LNF9kcjFyUEgxTWhhQWRYSlltaDhORldEZGRwYVdRMnBSSEFqNzVpdmNxanlYR2hjeFF5b1BpWWJ4XzMzaGt0azRMMjlFX1JzeHgxVUU4Z1VlRU9DNU1fMnVNOTE0bE4zWGNkM1oya1dPWTJocUFpTWtWcGxFNi1MbGZvXzBvUGNyWFRza1VuTUtONm1DQzVKdkUyN3BhRFQ1ZG9aNjFpS3I3aTVDckpOMDFnNS1zUHEtcW1aVWlsZw?oc=5,2025-05-29 18:00,"AI, data",AI adoption accelerates when proper data plan is in place: Wipro CTOBusiness Standard
